album,artist,date,rank
Reboot,Brooks &amp; Dunn,2019-04-20,8
Hoodie SZN,A Boogie Wit da Hoodie,2019-04-20,9
Scorpion,Drake,2019-04-20,10
This One's For You,Luke Combs,2019-04-20,11
A Star Is Born (Soundtrack),Lady Gaga &amp; Bradley Cooper,2019-04-20,12
Spider-Man: Into The Spider-Verse,Soundtrack,2019-04-20,13
Bohemian Rhapsody (Soundtrack),Queen,2019-04-20,14
Baby On Baby,DaBaby,2019-04-20,15
Championships,Meek Mill,2019-04-20,16
Bad Habits,NAV,2019-04-20,17
Utopia,Romeo Santos,2019-04-20,18
ASTROWORLD,Travis Scott,2019-04-20,19
Honky Tonk Time Machine,George Strait,2019-04-20,20
Dont Smile At Me,Billie Eilish,2019-04-20,21
Stronger Than The Truth,Reba McEntire,2019-04-20,22
Dan + Shay,Dan + Shay,2019-04-20,23
Kill This Love (EP),BLACKPINK,2019-04-20,24
Goodbye & Good Riddance,Juice WRLD,2019-04-20,25
I Am > I Was,21 Savage,2019-04-20,26
Invasion Of Privacy,Cardi B,2019-04-20,27
Drip Or Drown 2,Gunna,2019-04-20,28
The Greatest Showman,Soundtrack,2019-04-20,29
The World Is Yours 2,Rich The Kid,2019-04-20,30
Stoney,Post Malone,2019-04-20,31
Drip Harder,Lil Baby &amp; Gunna,2019-04-20,32
American Teen,Khalid,2019-04-20,33
?,XXXTENTACION,2019-04-20,34
X 100PRE,Bad Bunny,2019-04-20,35
GIRL,Maren Morris,2019-04-20,36
The Dirt (Soundtrack),Motley Crue,2019-04-20,37
I Am You,YNW Melly,2019-04-20,38
Hamilton: An American Musical,Original Broadway Cast Recording,2019-04-20,39
Dying To Live,Kodak Black,2019-04-20,40
Ella Mai,Ella Mai,2019-04-20,41
÷ (Divide),Ed Sheeran,2019-04-20,42
Greatest Hits,Queen,2019-04-20,43
FATHER OF 4,Offset,2019-04-20,44
Look Up Child,Lauren Daigle,2019-04-20,45
We All Shine,YNW Melly,2019-04-20,46
Traveller,Chris Stapleton,2019-04-20,47
Golden Hour,Kacey Musgraves,2019-04-20,48
Future Hndrxx Presents: The WIZRD,Future,2019-04-20,49
Sweetener,Ariana Grande,2019-04-20,50
Street Gossip,Lil Baby,2019-04-20,51
Tha Carter V,Lil Wayne,2019-04-20,52
Pray For The Wicked,Panic! At The Disco,2019-04-20,53
DAMN.,Kendrick Lamar,2019-04-20,54
Can't Say I Ain't Country,Florida Georgia Line,2019-04-20,55
Realer,YoungBoy Never Broke Again,2019-04-20,56
Luv Is Rage 2,Lil Uzi Vert,2019-04-20,57
Shelby,Lil Skies,2019-04-20,58
Evolve,Imagine Dragons,2019-04-20,59
Origins,Imagine Dragons,2019-04-20,60
Diamonds,Elton John,2019-04-20,61
Cosmic,Bazzi,2019-04-20,62
The Best Of Everything,Tom Petty And The Heartbreakers,2019-04-20,63
Periphery IV: Hail Stan,Periphery,2019-04-20,64
Curtain Call: The Hits,Eminem,2019-04-20,65
Experiment,Kane Brown,2019-04-20,66
Legend: The Best Of...,Bob Marley And The Wailers,2019-04-20,67
Kamikaze,Eminem,2019-04-20,68
Feed Tha Streets II,Roddy Ricch,2019-04-20,69
Brett Young,Brett Young,2019-04-20,70
Kane Brown,Kane Brown,2019-04-20,71
Views,Drake,2019-04-20,72
Not All Heroes Wear Capes,Metro Boomin,2019-04-20,73
Harder Than Ever,Lil Baby,2019-04-20,74
"Wasteland, Baby!",Hozier,2019-04-20,75
Queen,Nicki Minaj,2019-04-20,76
Culture II,Migos,2019-04-20,77
STOKELEY,Ski Mask The Slump God,2019-04-20,78
Journey's Greatest Hits,Journey,2019-04-20,79
Rearview Town,Jason Aldean,2019-04-20,80
Marshmello: Fortnite Extended Set,Marshmello,2019-04-20,81
Take Care,Drake,2019-04-20,82
17,XXXTENTACION,2019-04-20,83
Greatest Hits,2Pac,2019-04-20,84
2014 Forest Hills Drive,J. Cole,2019-04-20,85
Moana,Soundtrack,2019-04-20,86
Chronicle The 20 Greatest Hits,Creedence Clearwater Revival Featuring John Fogerty,2019-04-20,87
More Life,Drake,2019-04-20,88
Crenshaw,Nipsey Hussle,2019-04-20,89
H.E.R.,H.E.R.,2019-04-20,90
reputation,Taylor Swift,2019-04-20,91
KOD,J. Cole,2019-04-20,92
Famous Cryp,Blueface,2019-04-20,93
Girl Code,City Girls,2019-04-20,94
50 Number Ones,George Strait,2019-04-20,95
FRIENDS KEEP SECRETS (EP),benny blanco,2019-04-20,96
The Essential Billy Joel,Billy Joel,2019-04-20,97
A Place We Knew,Dean Lewis,2019-04-20,98
If I Know Me,Morgan Wallen,2019-04-20,99
Swimming,Mac Miller,2019-04-20,100
Rap Or Go To The League,2 Chainz,2019-04-20,101
Starboy,The Weeknd,2019-04-20,102
Until Death Call My Name,YoungBoy Never Broke Again,2019-04-20,103
Slauson Boy 2,Nipsey Hussle,2019-04-20,104
Life Changes,Thomas Rhett,2019-04-20,105
Morbid Stuff,PUP,2019-04-20,106
Trauma,I Prevail,2019-04-20,107
Red Pill Blues,Maroon 5,2019-04-20,108
While We Wait,Kehlani,2019-04-20,109
Nevermind,Nirvana,2019-04-20,110
Greatest Hits,The Notorious B.I.G.,2019-04-20,111
Greatest Hits,Guns N' Roses,2019-04-20,112
Night Visions,Imagine Dragons,2019-04-20,113
Ctrl,SZA,2019-04-20,114
Expectations,Bebe Rexha,2019-04-20,115
Perception,NF,2019-04-20,116
California Sunrise,Jon Pardi,2019-04-20,117
Rumours,Fleetwood Mac,2019-04-20,118
"good kid, m.A.A.d city",Kendrick Lamar,2019-04-20,119
Shawn Mendes,Shawn Mendes,2019-04-20,120
A Love Letter To You 3,Trippie Redd,2019-04-20,121
Trench,twenty one pilots,2019-04-20,122
Camila,Camila Cabello,2019-04-20,123
24K Magic,Bruno Mars,2019-04-20,124
Greatest Hits So Far...,Zac Brown Band,2019-04-20,125
Beauty Behind The Madness,The Weeknd,2019-04-20,126
The Essential Michael Jackson,Michael Jackson,2019-04-20,127
Cry Pretty,Carrie Underwood,2019-04-20,128
LoVE me NOw?,Tory Lanez,2019-04-20,129
DUMMY BOY,6ix9ine,2019-04-20,130
ANTI,Rihanna,2019-04-20,131
BALLADS 1,Joji,2019-04-20,132
Ticket To L.A.,Brett Young,2019-04-20,133
Greatest Hits,Bob Seger &amp; The Silver Bullet Band,2019-04-20,134
x,Ed Sheeran,2019-04-20,135
Birds In The Trap Sing McKnight,Travis Scott,2019-04-20,136
Greatest Hits I II & III: The Platinum Collection,Queen,2019-04-20,137
Luca Brasi 3,Kevin Gates,2019-04-20,138
Narrated For You,Alec Benjamin,2019-04-20,139
Youngblood,5 Seconds Of Summer,2019-04-20,140
Northsbest,Lil Mosey,2019-04-20,141
Their Greatest Hits 1971-1975,Eagles,2019-04-20,142
Dancing Queen,Cher,2019-04-20,143
"Black Panther: The Album, Music From And Inspired By",Soundtrack,2019-04-20,144
Reloaded: 20 #1 Hits,Blake Shelton,2019-04-20,145
Nothing Was The Same,Drake,2019-04-20,146
Last Day Of Summer,Summer Walker,2019-04-20,147
Metallica,Metallica,2019-04-20,148
Blurryface,twenty one pilots,2019-04-20,149
In The Lonely Hour,Sam Smith,2019-04-20,150
Back In Black,AC/DC,2019-04-20,151
From A Room: Volume 2,Chris Stapleton,2019-04-20,152
4Respect 4Freedom 4Loyalty 4WhatImportant,YoungBoy Never Broke Again,2019-04-20,153
Heartbreak On A Full Moon,Chris Brown,2019-04-20,154
Abbey Road,The Beatles,2019-04-20,155
1,The Beatles,2019-04-20,156
Hot Rocks 1964-1971,The Rolling Stones,2019-04-20,157
hopeless fountain kingdom,Halsey,2019-04-20,158
Life's A Trip,Trippie Redd,2019-04-20,159
1989,Taylor Swift,2019-04-20,160
Die Lit,Playboi Carti,2019-04-20,161
Evil Genius,Gucci Mane,2019-04-20,162
Aura,Ozuna,2019-04-20,163
A Decade Of Destruction,Five Finger Death Punch,2019-04-20,164
Pinkfong Presents: The Best Of Baby Shark,Pinkfong,2019-04-20,165
Life Of A Dark Rose,Lil Skies,2019-04-20,166
Sounds Of Summer: The Very Best Of The Beach Boys,The Beach Boys,2019-04-20,167
Montevallo,Sam Hunt,2019-04-20,168
"13 Reasons Why, Season 2",Soundtrack,2019-04-20,169
Dangerous Woman,Ariana Grande,2019-04-20,170
Future & Juice WRLD Present... WRLD ON DRUGS,Future &amp; Juice WRLD,2019-04-20,171
21,Adele,2019-04-20,172
Doo-Wops & Hooligans,Bruno Mars,2019-04-20,173
Dua Lipa,Dua Lipa,2019-04-20,174
T R A P S O U L,Bryson Tiller,2019-04-20,175
Signed To The Streets 3,Lil Durk,2019-04-20,176
The Greatest Hits Collection,Brooks &amp; Dunn,2019-04-20,177
25,Adele,2019-04-20,178
Freudian,Daniel Caesar,2019-04-20,179
Unapologetically,Kelsea Ballerini,2019-04-20,180
"Now That's What I Call Country, Volume 12",Various Artists,2019-04-20,181
Hozier,Hozier,2019-04-20,182
Thriller,Michael Jackson,2019-04-20,183
Greatest Hits: The Ultimate Collection,Bon Jovi,2019-04-20,184
Love Yourself: Answer,BTS,2019-04-20,185
From A Room: Volume 1,Chris Stapleton,2019-04-20,186
Drip Season 3,Gunna,2019-04-20,187
East Atlanta Love Letter,6LACK,2019-04-20,188
I met you when I was 18. (the playlist),Lauv,2019-04-20,189
The Life Of Pablo,Kanye West,2019-04-20,190
Project Baby Two,Kodak Black,2019-04-20,191
Quavo Huncho,Quavo,2019-04-20,192
Blonde,Frank Ocean,2019-04-20,193
Home State,Jordan Davis,2019-04-20,194
Culture,Migos,2019-04-20,195
Odisea,Ozuna,2019-04-20,196
Frozen,Soundtrack,2019-04-20,197
Harverd Dropout,Lil Pump,2019-04-20,198
Ride Waves,GRiZ,2019-04-20,199
The Click,AJR,2019-04-20,200
"When We All Fall Asleep, Where Do We Go?",Billie Eilish,2019-04-13,1
Victory Lap,Nipsey Hussle,2019-04-13,2
"Thank U, Next",Ariana Grande,2019-04-13,3
Honky Tonk Time Machine,George Strait,2019-04-13,4
Death Race For Love,Juice WRLD,2019-04-13,5
Bad Habits,NAV,2019-04-13,6
beerbongs & bentleys,Post Malone,2019-04-13,7
A Star Is Born (Soundtrack),Lady Gaga &amp; Bradley Cooper,2019-04-13,8
Hoodie SZN,A Boogie Wit da Hoodie,2019-04-13,9
Scorpion,Drake,2019-04-13,10
Spider-Man: Into The Spider-Verse,Soundtrack,2019-04-13,11
Bohemian Rhapsody (Soundtrack),Queen,2019-04-13,12
This One's For You,Luke Combs,2019-04-13,13
Trauma,I Prevail,2019-04-13,14
Dont Smile At Me,Billie Eilish,2019-04-13,15
Championships,Meek Mill,2019-04-13,16
ASTROWORLD,Travis Scott,2019-04-13,17
Sing To Me Instead,Ben Platt,2019-04-13,18
Baby On Baby,DaBaby,2019-04-13,19
The World Is Yours 2,Rich The Kid,2019-04-13,20
The Dirt (Soundtrack),Motley Crue,2019-04-13,21
I Am > I Was,21 Savage,2019-04-13,22
Goodbye & Good Riddance,Juice WRLD,2019-04-13,23
The Greatest Showman,Soundtrack,2019-04-13,24
Drip Or Drown 2,Gunna,2019-04-13,25
?,XXXTENTACION,2019-04-13,26
Invasion Of Privacy,Cardi B,2019-04-13,27
Trunk Muzik 3,YelaWolf,2019-04-13,28
Greatest Hits I II & III: The Platinum Collection,Queen,2019-04-13,29
Stoney,Post Malone,2019-04-13,30
Drip Harder,Lil Baby &amp; Gunna,2019-04-13,31
X 100PRE,Bad Bunny,2019-04-13,32
I Am You,YNW Melly,2019-04-13,33
FATHER OF 4,Offset,2019-04-13,34
American Teen,Khalid,2019-04-13,35
Suncity,Khalid,2019-04-13,36
Dying To Live,Kodak Black,2019-04-13,37
Hamilton: An American Musical,Original Broadway Cast Recording,2019-04-13,38
Look Up Child,Lauren Daigle,2019-04-13,39
÷ (Divide),Ed Sheeran,2019-04-13,40
Ella Mai,Ella Mai,2019-04-13,41
Dan + Shay,Dan + Shay,2019-04-13,42
GIRL,Maren Morris,2019-04-13,43
We All Shine,YNW Melly,2019-04-13,44
Future Hndrxx Presents: The WIZRD,Future,2019-04-13,45
Sweetener,Ariana Grande,2019-04-13,46
Shelby,Lil Skies,2019-04-13,47
Street Gossip,Lil Baby,2019-04-13,48
Traveller,Chris Stapleton,2019-04-13,49
Tha Carter V,Lil Wayne,2019-04-13,50
Realer,YoungBoy Never Broke Again,2019-04-13,51
You Are OK,The Maine,2019-04-13,52
Pray For The Wicked,Panic! At The Disco,2019-04-13,53
The Best Of Everything,Tom Petty And The Heartbreakers,2019-04-13,54
Golden Hour,Kacey Musgraves,2019-04-13,55
DAMN.,Kendrick Lamar,2019-04-13,56
Luv Is Rage 2,Lil Uzi Vert,2019-04-13,57
Origins,Imagine Dragons,2019-04-13,58
Evolve,Imagine Dragons,2019-04-13,59
Can't Say I Ain't Country,Florida Georgia Line,2019-04-13,60
Diamonds,Elton John,2019-04-13,61
Supermarket,Logic,2019-04-13,62
Crenshaw,Nipsey Hussle,2019-04-13,63
"Wasteland, Baby!",Hozier,2019-04-13,64
Greetings From... Jake Owen,Jake Owen,2019-04-13,65
Curtain Call: The Hits,Eminem,2019-04-13,66
Cosmic,Bazzi,2019-04-13,67
Kamikaze,Eminem,2019-04-13,68
Girl Code,City Girls,2019-04-13,69
Experiment,Kane Brown,2019-04-13,70
Not All Heroes Wear Capes,Metro Boomin,2019-04-13,71
Legend: The Best Of...,Bob Marley And The Wailers,2019-04-13,72
Feed Tha Streets II,Roddy Ricch,2019-04-13,73
17,XXXTENTACION,2019-04-13,74
Marshmello: Fortnite Extended Set,Marshmello,2019-04-13,75
Views,Drake,2019-04-13,76
STOKELEY,Ski Mask The Slump God,2019-04-13,77
Culture II,Migos,2019-04-13,78
A Place We Knew,Dean Lewis,2019-04-13,79
Harder Than Ever,Lil Baby,2019-04-13,80
Famous Cryp,Blueface,2019-04-13,81
Kane Brown,Kane Brown,2019-04-13,82
Rap Or Go To The League,2 Chainz,2019-04-13,83
Journey's Greatest Hits,Journey,2019-04-13,84
Moana,Soundtrack,2019-04-13,85
Rearview Town,Jason Aldean,2019-04-13,86
Greatest Hits,2Pac,2019-04-13,87
Take Care,Drake,2019-04-13,88
Chronicle The 20 Greatest Hits,Creedence Clearwater Revival Featuring John Fogerty,2019-04-13,89
More Life,Drake,2019-04-13,90
reputation,Taylor Swift,2019-04-13,91
H.E.R.,H.E.R.,2019-04-13,92
2014 Forest Hills Drive,J. Cole,2019-04-13,93
KOD,J. Cole,2019-04-13,94
FRIENDS KEEP SECRETS (EP),benny blanco,2019-04-13,95
The Essential Billy Joel,Billy Joel,2019-04-13,96
Queen,Nicki Minaj,2019-04-13,97
Swimming,Mac Miller,2019-04-13,98
50 Number Ones,George Strait,2019-04-13,99
While We Wait,Kehlani,2019-04-13,100
Starboy,The Weeknd,2019-04-13,101
Rumours,Fleetwood Mac,2019-04-13,102
Until Death Call My Name,YoungBoy Never Broke Again,2019-04-13,103
Red Pill Blues,Maroon 5,2019-04-13,104
If I Know Me,Morgan Wallen,2019-04-13,105
Greatest Hits,The Notorious B.I.G.,2019-04-13,106
Guy,Steve Earle And The Dukes,2019-04-13,107
Perception,NF,2019-04-13,108
Slauson Boy 2,Nipsey Hussle,2019-04-13,109
Greatest Hits,Guns N' Roses,2019-04-13,110
Life Changes,Thomas Rhett,2019-04-13,111
Night Visions,Imagine Dragons,2019-04-13,112
Camila,Camila Cabello,2019-04-13,113
The Essential Michael Jackson,Michael Jackson,2019-04-13,114
A Love Letter To You 3,Trippie Redd,2019-04-13,115
Shawn Mendes,Shawn Mendes,2019-04-13,116
24K Magic,Bruno Mars,2019-04-13,117
Ctrl,SZA,2019-04-13,118
DUMMY BOY,6ix9ine,2019-04-13,119
LoVE me NOw?,Tory Lanez,2019-04-13,120
Expectations,Bebe Rexha,2019-04-13,121
BALLADS 1,Joji,2019-04-13,122
x,Ed Sheeran,2019-04-13,123
California Sunrise,Jon Pardi,2019-04-13,124
Brett Young,Brett Young,2019-04-13,125
Beauty Behind The Madness,The Weeknd,2019-04-13,126
"good kid, m.A.A.d city",Kendrick Lamar,2019-04-13,127
Youngblood,5 Seconds Of Summer,2019-04-13,128
Trench,twenty one pilots,2019-04-13,129
ANTI,Rihanna,2019-04-13,130
Greatest Hits So Far...,Zac Brown Band,2019-04-13,131
Last Day Of Summer,Summer Walker,2019-04-13,132
Luca Brasi 3,Kevin Gates,2019-04-13,133
Birds In The Trap Sing McKnight,Travis Scott,2019-04-13,134
"Black Panther: The Album, Music From And Inspired By",Soundtrack,2019-04-13,135
Greatest Hits,Bob Seger &amp; The Silver Bullet Band,2019-04-13,136
Their Greatest Hits 1971-1975,Eagles,2019-04-13,137
In The Lonely Hour,Sam Smith,2019-04-13,138
Metallica,Metallica,2019-04-13,139
Northsbest,Lil Mosey,2019-04-13,140
Blurryface,twenty one pilots,2019-04-13,141
The Mighty,O.A.R.,2019-04-13,142
The Valley,Whitechapel,2019-04-13,143
Narrated For You,Alec Benjamin,2019-04-13,144
Evil Genius,Gucci Mane,2019-04-13,145
4Respect 4Freedom 4Loyalty 4WhatImportant,YoungBoy Never Broke Again,2019-04-13,146
Abbey Road,The Beatles,2019-04-13,147
Back In Black,AC/DC,2019-04-13,148
Nevermind,Nirvana,2019-04-13,149
Reloaded: 20 #1 Hits,Blake Shelton,2019-04-13,150
Nothing Was The Same,Drake,2019-04-13,151
hopeless fountain kingdom,Halsey,2019-04-13,152
Greatest Hits,Red Hot Chili Peppers,2019-04-13,153
Heartbreak On A Full Moon,Chris Brown,2019-04-13,154
Life's A Trip,Trippie Redd,2019-04-13,155
Hot Rocks 1964-1971,The Rolling Stones,2019-04-13,156
1989,Taylor Swift,2019-04-13,157
The Very Best Of The Eagles,Eagles,2019-04-13,158
1,The Beatles,2019-04-13,159
Pinkfong Presents: The Best Of Baby Shark,Pinkfong,2019-04-13,160
Die Lit,Playboi Carti,2019-04-13,161
Sounds Of Summer: The Very Best Of The Beach Boys,The Beach Boys,2019-04-13,162
Dangerous Woman,Ariana Grande,2019-04-13,163
Aura,Ozuna,2019-04-13,164
A Decade Of Destruction,Five Finger Death Punch,2019-04-13,165
Delta,Mumford &amp; Sons,2019-04-13,166
Life Of A Dark Rose,Lil Skies,2019-04-13,167
You're The Man,Marvin Gaye,2019-04-13,168
Empath,Devin Townsend,2019-04-13,169
Greatest Hits,Motley Crue,2019-04-13,170
Cry Pretty,Carrie Underwood,2019-04-13,171
Ticket To L.A.,Brett Young,2019-04-13,172
Signed To The Streets 3,Lil Durk,2019-04-13,173
"13 Reasons Why, Season 2",Soundtrack,2019-04-13,174
21,Adele,2019-04-13,175
25,Adele,2019-04-13,176
Dua Lipa,Dua Lipa,2019-04-13,177
Future & Juice WRLD Present... WRLD ON DRUGS,Future &amp; Juice WRLD,2019-04-13,178
The Marathon,Nipsey Hussle,2019-04-13,179
Harverd Dropout,Lil Pump,2019-04-13,180
Doo-Wops & Hooligans,Bruno Mars,2019-04-13,181
Freudian,Daniel Caesar,2019-04-13,182
T R A P S O U L,Bryson Tiller,2019-04-13,183
Thriller,Michael Jackson,2019-04-13,184
Hozier,Hozier,2019-04-13,185
Unapologetically,Kelsea Ballerini,2019-04-13,186
The Fame,Lady Gaga,2019-04-13,187
Gold: Greatest Hits,ABBA,2019-04-13,188
From A Room: Volume 2,Chris Stapleton,2019-04-13,189
Greatest Hits: The Ultimate Collection,Bon Jovi,2019-04-13,190
East Atlanta Love Letter,6LACK,2019-04-13,191
Mailbox Money,Nipsey Hussle,2019-04-13,192
Illuminate,Shawn Mendes,2019-04-13,193
Frozen,Soundtrack,2019-04-13,194
Home State,Jordan Davis,2019-04-13,195
Quavo Huncho,Quavo,2019-04-13,196
Project Baby Two,Kodak Black,2019-04-13,197
Simon And Garfunkel's Greatest Hits,Simon &amp; Garfunkel,2019-04-13,198
The Life Of Pablo,Kanye West,2019-04-13,199
Skins,XXXTENTACION,2019-04-13,200
Bad Habits,NAV,2019-04-06,1
"Thank U, Next",Ariana Grande,2019-04-06,2
Death Race For Love,Juice WRLD,2019-04-06,3
The World Is Yours 2,Rich The Kid,2019-04-06,4
?,XXXTENTACION,2019-04-06,5
A Star Is Born (Soundtrack),Lady Gaga &amp; Bradley Cooper,2019-04-06,6
Hoodie SZN,A Boogie Wit da Hoodie,2019-04-06,7
beerbongs & bentleys,Post Malone,2019-04-06,8
Bohemian Rhapsody (Soundtrack),Queen,2019-04-06,9
The Dirt (Soundtrack),Motley Crue,2019-04-06,10
Spider-Man: Into The Spider-Verse,Soundtrack,2019-04-06,11
Scorpion,Drake,2019-04-06,12
Championships,Meek Mill,2019-04-06,13
ASTROWORLD,Travis Scott,2019-04-06,14
This One's For You,Luke Combs,2019-04-06,15
Drip Or Drown 2,Gunna,2019-04-06,16
I Am > I Was,21 Savage,2019-04-06,17
Invasion Of Privacy,Cardi B,2019-04-06,18
The Greatest Showman,Soundtrack,2019-04-06,19
Dont Smile At Me,Billie Eilish,2019-04-06,20
Goodbye & Good Riddance,Juice WRLD,2019-04-06,21
FATHER OF 4,Offset,2019-04-06,22
I Am You,YNW Melly,2019-04-06,23
Drip Harder,Lil Baby &amp; Gunna,2019-04-06,24
X 100PRE,Bad Bunny,2019-04-06,25
Stoney,Post Malone,2019-04-06,26
Dying To Live,Kodak Black,2019-04-06,27
Greatest Hits,Queen,2019-04-06,28
Baby On Baby,DaBaby,2019-04-06,29
GIRL,Maren Morris,2019-04-06,30
A Place We Knew,Dean Lewis,2019-04-06,31
Hamilton: An American Musical,Original Broadway Cast Recording,2019-04-06,32
American Teen,Khalid,2019-04-06,33
On The Line,Jenny Lewis,2019-04-06,34
Dan + Shay,Dan + Shay,2019-04-06,35
÷ (Divide),Ed Sheeran,2019-04-06,36
Ella Mai,Ella Mai,2019-04-06,37
We All Shine,YNW Melly,2019-04-06,38
Look Up Child,Lauren Daigle,2019-04-06,39
Shelby,Lil Skies,2019-04-06,40
Future Hndrxx Presents: The WIZRD,Future,2019-04-06,41
The Very Best Of Fleetwood Mac,Fleetwood Mac,2019-04-06,42
Sweetener,Ariana Grande,2019-04-06,43
Suncity,Khalid,2019-04-06,44
Street Gossip,Lil Baby,2019-04-06,45
Pray For The Wicked,Panic! At The Disco,2019-04-06,46
Realer,YoungBoy Never Broke Again,2019-04-06,47
"Wasteland, Baby!",Hozier,2019-04-06,48
Traveller,Chris Stapleton,2019-04-06,49
Tha Carter V,Lil Wayne,2019-04-06,50
The Best Of Everything,Tom Petty And The Heartbreakers,2019-04-06,51
Golden Hour,Kacey Musgraves,2019-04-06,52
Diamonds,Elton John,2019-04-06,53
Origins,Imagine Dragons,2019-04-06,54
Can't Say I Ain't Country,Florida Georgia Line,2019-04-06,55
Supermarket,Logic,2019-04-06,56
Rap Or Go To The League,2 Chainz,2019-04-06,57
Evolve,Imagine Dragons,2019-04-06,58
DAMN.,Kendrick Lamar,2019-04-06,59
Girl Code,City Girls,2019-04-06,60
Famous Cryp,Blueface,2019-04-06,61
Luv Is Rage 2,Lil Uzi Vert,2019-04-06,62
Not All Heroes Wear Capes,Metro Boomin,2019-04-06,63
Cosmic,Bazzi,2019-04-06,64
Marshmello: Fortnite Extended Set,Marshmello,2019-04-06,65
Culture II,Migos,2019-04-06,66
17,XXXTENTACION,2019-04-06,67
Kamikaze,Eminem,2019-04-06,68
Harder Than Ever,Lil Baby,2019-04-06,69
Views,Drake,2019-04-06,70
STOKELEY,Ski Mask The Slump God,2019-04-06,71
Rearview Town,Jason Aldean,2019-04-06,72
Feed Tha Streets II,Roddy Ricch,2019-04-06,73
Legend: The Best Of...,Bob Marley And The Wailers,2019-04-06,74
Nothing Happens,Wallows,2019-04-06,75
H.E.R.,H.E.R.,2019-04-06,76
Take Care,Drake,2019-04-06,77
While We Wait,Kehlani,2019-04-06,78
Curtain Call: The Hits,Eminem,2019-04-06,79
Journey's Greatest Hits,Journey,2019-04-06,80
Kane Brown,Kane Brown,2019-04-06,81
Moana,Soundtrack,2019-04-06,82
More Life,Drake,2019-04-06,83
reputation,Taylor Swift,2019-04-06,84
Chronicle The 20 Greatest Hits,Creedence Clearwater Revival Featuring John Fogerty,2019-04-06,85
2014 Forest Hills Drive,J. Cole,2019-04-06,86
KOD,J. Cole,2019-04-06,87
Greatest Hits,2Pac,2019-04-06,88
Swimming,Mac Miller,2019-04-06,89
Experiment,Kane Brown,2019-04-06,90
FRIENDS KEEP SECRETS (EP),benny blanco,2019-04-06,91
Greatest Hits I II & III: The Platinum Collection,Queen,2019-04-06,92
Queen,Nicki Minaj,2019-04-06,93
The Essential Billy Joel,Billy Joel,2019-04-06,94
Shawn Mendes,Shawn Mendes,2019-04-06,95
Until Death Call My Name,YoungBoy Never Broke Again,2019-04-06,96
Starboy,The Weeknd,2019-04-06,97
Last Day Of Summer,Summer Walker,2019-04-06,98
Red Pill Blues,Maroon 5,2019-04-06,99
Perception,NF,2019-04-06,100
Trench,twenty one pilots,2019-04-06,101
DUMMY BOY,6ix9ine,2019-04-06,102
LoVE me NOw?,Tory Lanez,2019-04-06,103
A Love Letter To You 3,Trippie Redd,2019-04-06,104
Cry Pretty,Carrie Underwood,2019-04-06,105
Camila,Camila Cabello,2019-04-06,106
50 Number Ones,George Strait,2019-04-06,107
Ctrl,SZA,2019-04-06,108
Greatest Hits,The Notorious B.I.G.,2019-04-06,109
Greatest Hits,Guns N' Roses,2019-04-06,110
Love Yourself: Answer,BTS,2019-04-06,111
Expectations,Bebe Rexha,2019-04-06,112
Night Visions,Imagine Dragons,2019-04-06,113
Life Changes,Thomas Rhett,2019-04-06,114
The Essential Michael Jackson,Michael Jackson,2019-04-06,115
24K Magic,Bruno Mars,2019-04-06,116
If I Know Me,Morgan Wallen,2019-04-06,117
BALLADS 1,Joji,2019-04-06,118
Luca Brasi 3,Kevin Gates,2019-04-06,119
x,Ed Sheeran,2019-04-06,120
Youngblood,5 Seconds Of Summer,2019-04-06,121
The Best Of Nickelback: Volume 1,Nickelback,2019-04-06,122
"good kid, m.A.A.d city",Kendrick Lamar,2019-04-06,123
Beauty Behind The Madness,The Weeknd,2019-04-06,124
Greatest Hits,Motley Crue,2019-04-06,125
ANTI,Rihanna,2019-04-06,126
Evil Genius,Gucci Mane,2019-04-06,127
Birds In The Trap Sing McKnight,Travis Scott,2019-04-06,128
Greatest Hits,Bob Seger &amp; The Silver Bullet Band,2019-04-06,129
California Sunrise,Jon Pardi,2019-04-06,130
Blurryface,twenty one pilots,2019-04-06,131
In The Lonely Hour,Sam Smith,2019-04-06,132
Northsbest,Lil Mosey,2019-04-06,133
Greatest Hits So Far...,Zac Brown Band,2019-04-06,134
"Black Panther: The Album, Music From And Inspired By",Soundtrack,2019-04-06,135
Metallica,Metallica,2019-04-06,136
4Respect 4Freedom 4Loyalty 4WhatImportant,YoungBoy Never Broke Again,2019-04-06,137
hopeless fountain kingdom,Halsey,2019-04-06,138
Brett Young,Brett Young,2019-04-06,139
Pinkfong Presents: The Best Of Baby Shark,Pinkfong,2019-04-06,140
My Finest Work Yet,Andrew Bird,2019-04-06,141
Heartbreak On A Full Moon,Chris Brown,2019-04-06,142
Nothing Was The Same,Drake,2019-04-06,143
Their Greatest Hits 1971-1975,Eagles,2019-04-06,144
Dangerous Woman,Ariana Grande,2019-04-06,145
Life's A Trip,Trippie Redd,2019-04-06,146
1989,Taylor Swift,2019-04-06,147
Aura,Ozuna,2019-04-06,148
Harverd Dropout,Lil Pump,2019-04-06,149
Love,Michael Buble,2019-04-06,150
Life Of A Dark Rose,Lil Skies,2019-04-06,151
Greatest Hits,Red Hot Chili Peppers,2019-04-06,152
Back In Black,AC/DC,2019-04-06,153
Nevermind,Nirvana,2019-04-06,154
1,The Beatles,2019-04-06,155
Abbey Road,The Beatles,2019-04-06,156
