artist,date,rank
Bastille,2014-03-01,45
Lady Antebellum,2014-03-01,46
Kenny Chesney,2014-03-01,47
Pitbull,2014-03-01,48
Linkin Park,2014-03-01,49
Avicii,2014-03-01,50
Shakira,2014-03-01,51
ScHoolboy Q,2014-03-01,52
Colt Ford,2014-03-01,53
August Alsina,2014-03-01,54
Lil Wayne,2014-03-01,55
Eric Church,2014-03-01,56
KONGOS,2014-03-01,57
Enrique Iglesias,2014-03-01,58
Zac Brown Band,2014-03-01,59
Wiz Khalifa,2014-03-01,60
Jennifer Lopez,2014-03-01,61
Snoop Dogg,2014-03-01,62
Led Zeppelin,2014-03-01,63
Becky G,2014-03-01,64
Usher,2014-03-01,65
Lee Brice,2014-03-01,66
Justin Bieber,2014-03-01,67
Hillsong Worship,2014-03-01,68
Jason Aldean,2014-03-01,69
Old Crow Medicine Show,2014-03-01,70
Joe Nichols,2014-03-01,71
Arctic Monkeys,2014-03-01,72
Rihanna,2014-03-01,73
YG,2014-03-01,74
American Authors,2014-03-01,75
Lil Jon,2014-03-01,76
Rixton,2014-03-01,77
Jhene Aiko,2014-03-01,78
Jack White,2014-03-01,79
Tiesto,2014-03-01,80
DJ Snake,2014-03-01,81
Taylor Swift,2014-03-01,82
Ellie Goulding,2014-03-01,83
Chris Young,2014-03-01,84
Kid Ink,2014-03-01,85
Zedd,2014-03-01,86
P!nk,2014-03-01,87
The Black Keys,2014-03-01,88
Carrie Underwood,2014-03-01,89
Phillip Phillips,2014-03-01,90
JAY-Z,2014-03-01,91
Idina Menzel,2014-03-01,92
Tyler Farr,2014-03-01,93
Cole Swindell,2014-03-01,94
Adele,2014-03-01,95
Justin Moore,2014-03-01,96
Tim McGraw,2014-03-01,97
Ingrid Michaelson,2014-03-01,98
Christina Perri,2014-03-01,99
Passenger,2014-03-01,100
Trey Songz,2014-02-22,1
Sam Smith,2014-02-22,2
Iggy Azalea,2014-02-22,3
MAGIC!,2014-02-22,4
Ed Sheeran,2014-02-22,5
Ariana Grande,2014-02-22,6
Katy Perry,2014-02-22,7
5 Seconds Of Summer,2014-02-22,8
Jason Derulo,2014-02-22,9
Luke Bryan,2014-02-22,10
Pharrell Williams,2014-02-22,11
Nico &amp; Vinz,2014-02-22,12
OneRepublic,2014-02-22,13
Maroon 5,2014-02-22,14
Charli XCX,2014-02-22,15
Lana Del Rey,2014-02-22,16
John Legend,2014-02-22,17
Miranda Lambert,2014-02-22,18
Calvin Harris,2014-02-22,19
Eminem,2014-02-22,20
Justin Timberlake,2014-02-22,21
Imagine Dragons,2014-02-22,22
Florida Georgia Line,2014-02-22,23
Lorde,2014-02-22,24
Miley Cyrus,2014-02-22,25
Beyonce,2014-02-22,26
Coldplay,2014-02-22,27
Brantley Gilbert,2014-02-22,28
Bruno Mars,2014-02-22,29
Seether,2014-02-22,30
Robin Thicke,2014-02-22,31
Michael Jackson,2014-02-22,32
Drake,2014-02-22,33
One Direction,2014-02-22,34
Paramore,2014-02-22,35
Blake Shelton,2014-02-22,36
Chris Brown,2014-02-22,37
Sia,2014-02-22,38
Dierks Bentley,2014-02-22,39
Disclosure,2014-02-22,40
Jake Owen,2014-02-22,41
Nicki Minaj,2014-02-22,42
MKTO,2014-02-22,43
Demi Lovato,2014-02-22,44
Bastille,2014-02-22,45
Lady Antebellum,2014-02-22,46
Kenny Chesney,2014-02-22,47
Pitbull,2014-02-22,48
Linkin Park,2014-02-22,49
Avicii,2014-02-22,50
Shakira,2014-02-22,51
ScHoolboy Q,2014-02-22,52
Colt Ford,2014-02-22,53
August Alsina,2014-02-22,54
Lil Wayne,2014-02-22,55
Eric Church,2014-02-22,56
KONGOS,2014-02-22,57
Enrique Iglesias,2014-02-22,58
Zac Brown Band,2014-02-22,59
Wiz Khalifa,2014-02-22,60
Jennifer Lopez,2014-02-22,61
Snoop Dogg,2014-02-22,62
Led Zeppelin,2014-02-22,63
Becky G,2014-02-22,64
Usher,2014-02-22,65
Lee Brice,2014-02-22,66
Justin Bieber,2014-02-22,67
Hillsong Worship,2014-02-22,68
Jason Aldean,2014-02-22,69
Old Crow Medicine Show,2014-02-22,70
Joe Nichols,2014-02-22,71
Arctic Monkeys,2014-02-22,72
Rihanna,2014-02-22,73
YG,2014-02-22,74
American Authors,2014-02-22,75
Lil Jon,2014-02-22,76
Rixton,2014-02-22,77
Jhene Aiko,2014-02-22,78
Jack White,2014-02-22,79
Tiesto,2014-02-22,80
DJ Snake,2014-02-22,81
Taylor Swift,2014-02-22,82
Ellie Goulding,2014-02-22,83
Chris Young,2014-02-22,84
Kid Ink,2014-02-22,85
Zedd,2014-02-22,86
P!nk,2014-02-22,87
The Black Keys,2014-02-22,88
Carrie Underwood,2014-02-22,89
Phillip Phillips,2014-02-22,90
JAY-Z,2014-02-22,91
Idina Menzel,2014-02-22,92
Tyler Farr,2014-02-22,93
Cole Swindell,2014-02-22,94
Adele,2014-02-22,95
Justin Moore,2014-02-22,96
Tim McGraw,2014-02-22,97
Ingrid Michaelson,2014-02-22,98
Christina Perri,2014-02-22,99
Passenger,2014-02-22,100
Trey Songz,2014-02-15,1
Sam Smith,2014-02-15,2
Iggy Azalea,2014-02-15,3
MAGIC!,2014-02-15,4
Ed Sheeran,2014-02-15,5
Ariana Grande,2014-02-15,6
Katy Perry,2014-02-15,7
5 Seconds Of Summer,2014-02-15,8
Jason Derulo,2014-02-15,9
Luke Bryan,2014-02-15,10
Pharrell Williams,2014-02-15,11
Nico &amp; Vinz,2014-02-15,12
OneRepublic,2014-02-15,13
Maroon 5,2014-02-15,14
Charli XCX,2014-02-15,15
Lana Del Rey,2014-02-15,16
John Legend,2014-02-15,17
Miranda Lambert,2014-02-15,18
Calvin Harris,2014-02-15,19
Eminem,2014-02-15,20
Justin Timberlake,2014-02-15,21
Imagine Dragons,2014-02-15,22
Florida Georgia Line,2014-02-15,23
Lorde,2014-02-15,24
Miley Cyrus,2014-02-15,25
Beyonce,2014-02-15,26
Coldplay,2014-02-15,27
Brantley Gilbert,2014-02-15,28
Bruno Mars,2014-02-15,29
Seether,2014-02-15,30
Robin Thicke,2014-02-15,31
Michael Jackson,2014-02-15,32
Drake,2014-02-15,33
One Direction,2014-02-15,34
Paramore,2014-02-15,35
Blake Shelton,2014-02-15,36
Chris Brown,2014-02-15,37
Sia,2014-02-15,38
Dierks Bentley,2014-02-15,39
Disclosure,2014-02-15,40
Jake Owen,2014-02-15,41
Nicki Minaj,2014-02-15,42
MKTO,2014-02-15,43
Demi Lovato,2014-02-15,44
Bastille,2014-02-15,45
Lady Antebellum,2014-02-15,46
Kenny Chesney,2014-02-15,47
Pitbull,2014-02-15,48
Linkin Park,2014-02-15,49
Avicii,2014-02-15,50
Shakira,2014-02-15,51
ScHoolboy Q,2014-02-15,52
Colt Ford,2014-02-15,53
August Alsina,2014-02-15,54
Lil Wayne,2014-02-15,55
Eric Church,2014-02-15,56
KONGOS,2014-02-15,57
Enrique Iglesias,2014-02-15,58
Zac Brown Band,2014-02-15,59
Wiz Khalifa,2014-02-15,60
Jennifer Lopez,2014-02-15,61
Snoop Dogg,2014-02-15,62
Led Zeppelin,2014-02-15,63
Becky G,2014-02-15,64
Usher,2014-02-15,65
Lee Brice,2014-02-15,66
Justin Bieber,2014-02-15,67
Hillsong Worship,2014-02-15,68
Jason Aldean,2014-02-15,69
Old Crow Medicine Show,2014-02-15,70
Joe Nichols,2014-02-15,71
Arctic Monkeys,2014-02-15,72
Rihanna,2014-02-15,73
YG,2014-02-15,74
American Authors,2014-02-15,75
Lil Jon,2014-02-15,76
Rixton,2014-02-15,77
Jhene Aiko,2014-02-15,78
Jack White,2014-02-15,79
Tiesto,2014-02-15,80
DJ Snake,2014-02-15,81
Taylor Swift,2014-02-15,82
Ellie Goulding,2014-02-15,83
Chris Young,2014-02-15,84
Kid Ink,2014-02-15,85
Zedd,2014-02-15,86
P!nk,2014-02-15,87
The Black Keys,2014-02-15,88
Carrie Underwood,2014-02-15,89
Phillip Phillips,2014-02-15,90
JAY-Z,2014-02-15,91
Idina Menzel,2014-02-15,92
Tyler Farr,2014-02-15,93
Cole Swindell,2014-02-15,94
Adele,2014-02-15,95
Justin Moore,2014-02-15,96
Tim McGraw,2014-02-15,97
Ingrid Michaelson,2014-02-15,98
Christina Perri,2014-02-15,99
Passenger,2014-02-15,100
Trey Songz,2014-02-08,1
Sam Smith,2014-02-08,2
Iggy Azalea,2014-02-08,3
MAGIC!,2014-02-08,4
Ed Sheeran,2014-02-08,5
Ariana Grande,2014-02-08,6
Katy Perry,2014-02-08,7
5 Seconds Of Summer,2014-02-08,8
Jason Derulo,2014-02-08,9
Luke Bryan,2014-02-08,10
Pharrell Williams,2014-02-08,11
Nico &amp; Vinz,2014-02-08,12
OneRepublic,2014-02-08,13
Maroon 5,2014-02-08,14
Charli XCX,2014-02-08,15
Lana Del Rey,2014-02-08,16
John Legend,2014-02-08,17
Miranda Lambert,2014-02-08,18
Calvin Harris,2014-02-08,19
Eminem,2014-02-08,20
Justin Timberlake,2014-02-08,21
Imagine Dragons,2014-02-08,22
Florida Georgia Line,2014-02-08,23
Lorde,2014-02-08,24
Miley Cyrus,2014-02-08,25
Beyonce,2014-02-08,26
Coldplay,2014-02-08,27
Brantley Gilbert,2014-02-08,28
Bruno Mars,2014-02-08,29
Seether,2014-02-08,30
Robin Thicke,2014-02-08,31
Michael Jackson,2014-02-08,32
Drake,2014-02-08,33
One Direction,2014-02-08,34
Paramore,2014-02-08,35
Blake Shelton,2014-02-08,36
Chris Brown,2014-02-08,37
Sia,2014-02-08,38
Dierks Bentley,2014-02-08,39
Disclosure,2014-02-08,40
Jake Owen,2014-02-08,41
Nicki Minaj,2014-02-08,42
MKTO,2014-02-08,43
Demi Lovato,2014-02-08,44
Bastille,2014-02-08,45
Lady Antebellum,2014-02-08,46
Kenny Chesney,2014-02-08,47
Pitbull,2014-02-08,48
Linkin Park,2014-02-08,49
Avicii,2014-02-08,50
Shakira,2014-02-08,51
ScHoolboy Q,2014-02-08,52
Colt Ford,2014-02-08,53
August Alsina,2014-02-08,54
Lil Wayne,2014-02-08,55
Eric Church,2014-02-08,56
KONGOS,2014-02-08,57
Enrique Iglesias,2014-02-08,58
Zac Brown Band,2014-02-08,59
Wiz Khalifa,2014-02-08,60
Jennifer Lopez,2014-02-08,61
Snoop Dogg,2014-02-08,62
Led Zeppelin,2014-02-08,63
Becky G,2014-02-08,64
Usher,2014-02-08,65
Lee Brice,2014-02-08,66
Justin Bieber,2014-02-08,67
Hillsong Worship,2014-02-08,68
Jason Aldean,2014-02-08,69
Old Crow Medicine Show,2014-02-08,70
Joe Nichols,2014-02-08,71
Arctic Monkeys,2014-02-08,72
Rihanna,2014-02-08,73
YG,2014-02-08,74
American Authors,2014-02-08,75
Lil Jon,2014-02-08,76
Rixton,2014-02-08,77
Jhene Aiko,2014-02-08,78
Jack White,2014-02-08,79
Tiesto,2014-02-08,80
DJ Snake,2014-02-08,81
Taylor Swift,2014-02-08,82
Ellie Goulding,2014-02-08,83
Chris Young,2014-02-08,84
Kid Ink,2014-02-08,85
Zedd,2014-02-08,86
P!nk,2014-02-08,87
The Black Keys,2014-02-08,88
Carrie Underwood,2014-02-08,89
Phillip Phillips,2014-02-08,90
JAY-Z,2014-02-08,91
Idina Menzel,2014-02-08,92
Tyler Farr,2014-02-08,93
Cole Swindell,2014-02-08,94
Adele,2014-02-08,95
Justin Moore,2014-02-08,96
Tim McGraw,2014-02-08,97
Ingrid Michaelson,2014-02-08,98
Christina Perri,2014-02-08,99
Passenger,2014-02-08,100
Trey Songz,2014-02-01,1
Sam Smith,2014-02-01,2
Iggy Azalea,2014-02-01,3
MAGIC!,2014-02-01,4
Ed Sheeran,2014-02-01,5
Ariana Grande,2014-02-01,6
Katy Perry,2014-02-01,7
5 Seconds Of Summer,2014-02-01,8
Jason Derulo,2014-02-01,9
Luke Bryan,2014-02-01,10
Pharrell Williams,2014-02-01,11
Nico &amp; Vinz,2014-02-01,12
OneRepublic,2014-02-01,13
Maroon 5,2014-02-01,14
Charli XCX,2014-02-01,15
Lana Del Rey,2014-02-01,16
John Legend,2014-02-01,17
Miranda Lambert,2014-02-01,18
Calvin Harris,2014-02-01,19
Eminem,2014-02-01,20
Justin Timberlake,2014-02-01,21
Imagine Dragons,2014-02-01,22
Florida Georgia Line,2014-02-01,23
Lorde,2014-02-01,24
Miley Cyrus,2014-02-01,25
Beyonce,2014-02-01,26
Coldplay,2014-02-01,27
Brantley Gilbert,2014-02-01,28
Bruno Mars,2014-02-01,29
Seether,2014-02-01,30
Robin Thicke,2014-02-01,31
Michael Jackson,2014-02-01,32
Drake,2014-02-01,33
One Direction,2014-02-01,34
Paramore,2014-02-01,35
Blake Shelton,2014-02-01,36
Chris Brown,2014-02-01,37
Sia,2014-02-01,38
Dierks Bentley,2014-02-01,39
Disclosure,2014-02-01,40
Jake Owen,2014-02-01,41
Nicki Minaj,2014-02-01,42
MKTO,2014-02-01,43
Demi Lovato,2014-02-01,44
Bastille,2014-02-01,45
Lady Antebellum,2014-02-01,46
Kenny Chesney,2014-02-01,47
Pitbull,2014-02-01,48
Linkin Park,2014-02-01,49
Avicii,2014-02-01,50
Shakira,2014-02-01,51
ScHoolboy Q,2014-02-01,52
Colt Ford,2014-02-01,53
August Alsina,2014-02-01,54
Lil Wayne,2014-02-01,55
Eric Church,2014-02-01,56
KONGOS,2014-02-01,57
Enrique Iglesias,2014-02-01,58
Zac Brown Band,2014-02-01,59
Wiz Khalifa,2014-02-01,60
Jennifer Lopez,2014-02-01,61
Snoop Dogg,2014-02-01,62
